input_index,orig_root,orig_stem,orig_leaf,orig_fruit,orig_fruit_margin,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
158,3.115512,3.137969,2.979679,2.903419,-0.23455000000000004,1.7422313690185547,1.930816411972046,1.940464973449707,3.2523725032806396,1.3119075298309326,94,165,165
159,2.653311,2.732502,2.59529,2.646084,-0.0864180000000001,7.619755744934082,7.093656539916992,6.9563751220703125,10.15556526184082,2.5358095169067383,106,165,165
160,1.190044,1.140168,1.009042,0.911169,-0.2788750000000001,0.8868024349212646,0.6352631449699402,0.5382555723190308,3.0804412364959717,2.193638801574707,110,165,165
161,1.53244,1.502715,1.375772,1.312402,-0.22003799999999996,0.46003976464271545,0.3813377618789673,0.24915924668312073,2.432570457458496,1.9725306928157806,122,165,165
162,5.959446,6.21078,5.987018,5.831452,-0.3793280000000001,5.341438293457031,5.045107841491699,4.899808406829834,7.611301898956299,2.2698636054992676,110,165,165
163,1.319476,1.294665,1.185842,0.995055,-0.32442100000000007,6.834155082702637,6.826187610626221,6.602487087249756,8.292762756347656,1.4586076736450195,114,165,165
164,1.639008,1.697952,1.568917,1.509047,-0.18890499999999988,8.535294532775879,8.55788803100586,8.179179191589355,10.278923034667969,1.7210350036621094,101,165,165
165,2.008348,2.053127,1.938452,1.678134,-0.3749929999999999,7.825743198394775,7.880722522735596,7.4528913497924805,9.66633415222168,1.785611629486084,110,165,165
166,3.56665,3.644941,3.438622,3.198344,-0.44659700000000013,6.064203262329102,6.1612396240234375,5.8991007804870605,8.100936889648438,1.939697265625,110,165,165
167,2.048243,2.084209,1.956382,1.822213,-0.2619959999999999,10.10637092590332,10.23701286315918,10.081206321716309,11.340197563171387,1.103184700012207,101,165,165
168,1.561042,1.58348,1.485029,1.34776,-0.23571999999999993,0.5464818477630615,0.5626229643821716,0.6994602680206299,1.9515148401260376,1.2520545721054077,102,165,165
169,1.534134,1.448128,1.327605,1.31809,-0.21604400000000012,8.622699737548828,8.827682495117188,8.650652885437012,10.700666427612305,1.8729839324951172,92,165,165
170,2.424309,2.461346,2.324646,2.367285,-0.09406099999999995,2.3936524391174316,2.366593360900879,2.340064525604248,4.624761581420898,2.231109142303467,87,165,165
